"_id","TIMESTAMP","SHORT_DESC","LONG_DESC","TYPE","LEVEL"
"36","Sep 7, 2017 10:04:07 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"37","Sep 7, 2017 10:04:28 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"38","Sep 7, 2017 10:04:28 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"39","Sep 7, 2017 10:05:34 PM","WiFi State Changed: <font color=green>[CONNECTED]</font>","Connected to WiFi network.<br> •SSID: "
"TransitWirelessWiFi"
"<br> •BSSID: fc:0a:81:b5:eb:60<br> •MAC: 40:b0:fa:c3:44:4a<br> •IP Address: -1876074230<br>","wifi","info"
"40","Sep 7, 2017 10:07:24 PM","Screen Turned On","Screen has been turned on.","screen","info"
"41","Sep 7, 2017 10:07:26 PM","Screen Unlocked","User has unlocked the device.","screen","info"
"42","Sep 7, 2017 10:07:29 PM","App Started/Resumed: [Voice]","Application 'Voice'[com.google.android.apps.googlevoice] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"43","Sep 7, 2017 10:07:39 PM","App Started/Resumed: [Launcher]","Application 'Launcher'[com.android.launcher] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"44","Sep 7, 2017 10:07:41 PM","App Started/Resumed: [Voice]","Application 'Voice'[com.google.android.apps.googlevoice] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"45","Sep 7, 2017 10:07:42 PM","App Started/Resumed: [Launcher]","Application 'Launcher'[com.android.launcher] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"46","Sep 7, 2017 10:07:53 PM","App Started/Resumed: [Email]","Application 'Email'[com.google.android.email] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"47","Sep 7, 2017 10:07:58 PM","App Started/Resumed: [Launcher]","Application 'Launcher'[com.android.launcher] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"48","Sep 7, 2017 10:08:02 PM","App Started/Resumed: [System UI]","Application 'System UI'[com.android.systemui] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"49","Sep 7, 2017 10:08:11 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"50","Sep 7, 2017 10:08:11 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"51","Sep 7, 2017 10:08:13 PM","WiFi State Changed: <font color=green>[CONNECTED]</font>","Connected to WiFi network.<br> •SSID: "
"TransitWirelessWiFi"
"<br> •BSSID: 74:67:f7:a9:76:60<br> •MAC: 40:b0:fa:c3:44:4a<br> •IP Address: -1876074230<br>","wifi","info"
"52","Sep 7, 2017 10:08:18 PM","App Started/Resumed: [Event Logger]","Application 'Event Logger'[rs.pedjaapps.eventlogger] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"53","Sep 7, 2017 10:08:29 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"54","Sep 7, 2017 10:08:29 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"55","Sep 7, 2017 10:08:39 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"56","Sep 7, 2017 10:08:39 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"57","Sep 7, 2017 10:09:27 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"58","Sep 7, 2017 10:09:27 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"59","Sep 7, 2017 10:09:40 PM","App Started/Resumed: [Launcher]","Application 'Launcher'[com.android.launcher] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"60","Sep 7, 2017 10:09:48 PM","App Started/Resumed: [System UI]","Application 'System UI'[com.android.systemui] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"61","Sep 7, 2017 10:09:49 PM","App Started/Resumed: [Event Logger]","Application 'Event Logger'[rs.pedjaapps.eventlogger] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"62","Sep 7, 2017 10:10:10 PM","App Started/Resumed: [System UI]","Application 'System UI'[com.android.systemui] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"63","Sep 7, 2017 10:10:12 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"64","Sep 7, 2017 10:10:13 PM","App Started/Resumed: [Launcher]","Application 'Launcher'[com.android.launcher] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
